,all,BaoYan,CuKeng,FanFan,FuBuEr,MeiLuo,MeiYou,NanShi,QingShui,SongLuo,SanGuang,TianGou,TuChang
25,['Litsea cubeba'],0,0,0,1,0,0,1,0,0,0,0,0
26,['Arenga engleri'],0,1,1,0,0,0,1,0,1,1,0,1
27,['Desmodiinae'],0,0,0,0,0,0,1,0,0,0,0,0
28,['Sambucus javanica'],0,1,1,1,0,0,1,1,1,1,1,1
29,['Asarum taipingshanianum'],0,0,0,0,0,0,0,0,0,1,1,1
30,['Sphagnum'],0,1,1,0,0,0,0,0,0,1,1,1
31,['Polypodiodes formosana'],0,1,1,0,0,0,1,0,1,1,1,1
32,['Teleopsis quadriguttata'],0,1,0,0,0,0,1,0,1,1,0,0
33,['Asiophrida spectabilis'],0,0,0,0,0,0,1,0,0,0,0,0
34,['Sedum actinocarpum'],0,1,1,0,0,0,1,0,0,1,0,0
35,['Drynaria coronans'],0,1,1,0,0,0,1,1,1,0,0,0
36,['Appias lyncida'],0,1,0,0,0,0,1,0,0,0,0,0
37,['Dryopteris varia'],0,0,0,0,0,0,1,0,0,1,0,0
38,['Lycianthes biflora'],0,1,0,0,0,0,1,0,1,1,1,0
39,['Asplenium cuneatiforme'],0,1,1,0,0,0,1,0,1,0,0,1
40,['Titanotrichum oldhamii'],0,0,0,0,0,0,1,0,0,1,0,0
41,['Hydrangea involucrata longifolia'],0,0,0,0,0,0,0,0,0,0,1,0
42,['Juglans mandshurica mandshurica'],0,0,0,0,0,1,0,0,0,0,0,1
43,['Petasites formosanus'],0,0,1,1,0,0,0,0,0,1,1,1
44,['Rhododendron formosanum'],0,0,0,1,0,0,1,0,0,1,1,1
45,['Ranunculus cantoniensis'],0,1,1,0,0,0,1,1,1,1,1,1
46,['Heterotropa'],0,0,0,0,0,0,0,0,0,1,1,0
47,['Pilea matsudae'],0,0,0,0,0,0,0,0,0,0,1,0
48,['Paris polyphylla stenophylla'],0,0,1,0,0,0,0,0,0,0,1,0
49,['Sanicula petagnioides'],0,1,0,0,0,0,0,0,0,0,1,0
50,['Disporum sessile intermedium'],0,0,0,0,0,0,0,0,0,0,1,0
51,['Ainsliaea henryi'],0,0,0,1,0,1,0,0,0,0,1,0
52,['Arisaema taiwanense'],0,0,1,1,0,1,0,0,1,1,1,0
53,['Dryopteris peranema'],0,0,0,0,0,0,0,0,0,0,1,0
54,['Viola formosana'],0,1,1,0,0,0,1,0,1,1,1,1
55,['Arachniodes amabilis fimbriata'],0,0,1,0,0,0,1,0,0,0,1,1
56,['Persicaria biconvexa'],0,1,1,0,0,0,1,0,0,1,1,1
57,['Microporus affinis'],0,1,0,0,0,0,1,0,1,0,0,0
58,['Dryopteris formosana'],0,0,0,1,0,0,1,0,0,1,1,1
59,['Hemielimaea formosana'],0,0,0,0,0,0,0,0,0,0,0,0
60,['Motacilla alba'],0,1,0,0,0,0,1,0,0,0,0,1
61,['Bipaliinae'],0,1,1,0,0,0,1,0,0,1,0,0
62,['Melanitis'],0,0,0,0,0,0,1,0,0,1,0,0
63,['Neofelis nebulosa'],0,0,0,0,0,0,1,0,0,0,0,0
64,['Sphenomorphus indicus'],0,1,1,0,0,0,1,0,1,1,0,0
65,['Microhyla fissipes'],0,1,1,0,0,0,1,0,0,0,0,0
66,['Phelotrupes formosanus'],0,0,1,0,0,0,0,0,0,0,0,0
67,['Opiliones'],0,1,1,0,0,0,1,1,1,1,1,1
68,['Coptis morii'],0,0,1,0,0,0,1,0,0,1,1,1
69,['Magnoliopsida'],0,1,1,1,0,0,1,1,1,1,1,1
70,['Monotropastrum humile'],0,1,0,0,0,0,0,0,0,1,1,1
71,['Cheiropleuria integrifolia'],0,1,0,0,0,0,1,0,0,1,0,0
72,['Cercidiphyllum japonicum'],0,1,0,0,0,0,0,0,0,0,0,0
73,['Calanthe aristulifera'],0,1,0,0,0,1,1,0,0,1,0,0
74,['Calanthe striata'],0,0,0,0,0,0,1,0,0,1,0,0
75,['Ardisia japonica'],0,0,1,1,0,0,0,0,0,1,1,0
76,['Oenanthe javanica'],0,1,1,0,0,0,1,1,1,1,1,1
77,['Excoecaria cochinchinensis'],0,0,0,0,0,0,1,0,0,0,0,1
78,['Rhododendron'],0,1,1,1,0,0,1,0,0,1,1,1
79,['Prunus persica'],0,0,0,0,0,0,1,0,0,1,0,1
80,['Heptapleurum arboricola'],0,1,1,0,0,0,1,0,0,0,0,1
81,['Citrus maxima'],0,1,1,0,0,0,1,0,0,0,0,1
82,['Eutacta'],0,0,0,0,0,0,0,0,0,0,0,1
83,['Trema orientale'],0,1,1,0,0,0,1,0,1,0,0,1
84,['Piper kadsura'],0,1,1,0,0,0,1,1,1,1,1,1
85,['Nephrolepis cordifolia'],0,1,1,0,0,0,1,1,1,1,0,1
86,['Bidens alba'],0,1,1,0,0,0,1,1,1,1,0,1
87,['Persicaria chinensis'],0,1,1,1,0,0,1,1,1,1,1,1
88,['Ficus microcarpa'],0,0,0,0,0,0,1,1,0,0,0,1
89,['Juniperus chinensis'],0,0,0,0,0,0,1,1,0,0,0,1
90,['Calocedrus formosana'],1,1,0,0,0,0,1,0,0,0,1,0
91,['Prunus mume'],0,1,0,0,0,0,1,0,0,0,0,1
92,['Crassocephalum crepidioides'],0,1,1,0,0,0,1,1,1,1,1,1
93,['Mazus pumilus'],0,1,0,0,0,0,1,1,0,0,0,1
94,['Plantago major'],0,1,0,0,0,0,1,0,1,0,0,1
95,['Clinopodium gracile'],0,1,1,0,0,0,1,1,1,1,1,1
96,['Polypogon fugax'],0,0,0,0,0,0,0,0,0,1,0,1
97,['Potentilla'],0,1,1,0,0,0,1,0,0,1,0,1
98,['Theaceae'],0,0,1,1,0,0,0,0,1,1,0,1
99,['Platycladus orientalis'],0,0,0,0,0,0,0,0,0,0,0,1
100,['Tracheophyta'],0,1,1,1,0,0,1,1,1,1,1,1
101,['Callicarpa formosana'],0,1,1,1,0,0,1,1,1,1,1,1
102,['Deutzia pulchra'],0,1,1,0,0,0,1,1,1,1,1,1
103,['Osmanthus fragrans'],0,1,1,0,0,0,1,0,0,0,0,1
104,['Phalaenopsis'],0,0,0,0,0,0,1,0,0,0,0,1
105,['Cyclophorus formosaensis'],0,0,1,0,0,0,1,0,0,1,0,0
106,['Plectotropis mackensii'],0,1,1,0,0,0,1,0,0,1,0,1
107,['Myotis rufoniger'],0,1,0,0,0,0,0,0,0,0,0,0
108,['Metaphire'],0,1,0,0,0,0,1,0,0,0,0,0
109,['Mammalia'],0,1,1,1,0,0,0,0,0,0,0,1
110,['Sus scrofa taivanus'],0,1,1,0,0,0,0,0,0,0,0,0
111,['Monachosorum henryi'],0,1,1,1,0,0,1,0,1,1,1,1
112,['Actias sinensis subaurea'],0,1,0,0,0,0,0,0,0,0,1,0
113,['Notodontidae'],0,1,1,0,0,0,0,0,0,1,0,1
114,['Halmus chalybeus'],0,0,0,0,0,0,0,0,0,0,0,1
115,['Centrochelys sulcata'],0,0,0,0,0,0,1,0,0,0,0,0
116,['Matrona cyanoptera'],0,1,0,0,0,0,1,1,1,1,0,1
117,['Prunus campanulata'],0,1,1,0,0,0,1,1,1,1,0,1
118,['Trimeresurus stejnegeri'],0,1,1,0,0,0,1,1,1,1,0,1
119,['Lycodon rufozonatus'],0,1,1,0,0,0,1,0,0,1,0,0
120,['Protobothrops mucrosquamatus'],0,1,1,0,0,0,1,0,1,1,0,0
121,['Fissistigma glaucescens'],0,1,0,0,0,0,0,0,0,0,0,0
122,['Epidaus sexspinus'],0,1,1,0,0,0,1,0,1,0,0,0
123,['Neopanorpa'],0,1,0,0,0,0,1,0,0,1,0,0
124,['Dichorragia nesimachus'],0,1,0,0,0,0,0,0,0,1,0,0
125,['Xystodesmidae'],0,0,0,0,0,0,1,0,0,1,0,0
126,['Calosoma maximowiczi'],0,0,0,0,0,0,0,0,0,1,0,0
127,['Nymphalis xanthomelas'],0,0,1,0,0,0,0,0,0,1,0,0
128,['Nidirana adenopleura'],0,1,1,0,0,0,1,0,1,1,0,0
129,['Tessaratoma papillosa'],0,1,0,0,0,0,1,0,1,1,0,1
130,['Graphium doson'],0,1,1,0,0,0,1,0,0,1,0,1
131,['Dryopteris'],0,1,0,0,0,0,0,0,0,0,1,0
132,['Lemmaphyllum microphyllum'],0,1,1,0,0,0,1,1,1,1,1,1
133,['Dysosma pleiantha'],0,0,1,1,0,0,1,0,1,1,1,1
134,['Eupatorium chinense tozanense'],0,0,0,0,0,0,0,0,0,1,1,0
135,['Acanthophippium striatum'],1,0,1,0,0,0,1,0,0,1,0,0
136,['Ophioderma pendulum'],0,1,0,0,0,0,1,0,1,0,0,1
137,['Impatiens tayemonii'],1,0,0,0,0,0,0,0,0,1,0,0
138,['Psolodesmus mandarinus dorothea'],0,0,0,0,0,0,0,0,1,1,0,0
139,['Orthetrum triangulare'],0,1,1,0,0,0,1,1,1,1,0,1
140,['Ciconia boyciana'],0,1,0,0,0,0,0,0,0,0,0,0
141,['Melastoma candidum'],0,1,1,0,0,0,1,1,1,0,1,0
142,['Houttuynia cordata'],0,1,1,0,0,0,1,0,0,0,1,0
143,['Solanum pseudocapsicum'],0,1,0,0,0,0,1,0,0,0,0,1
144,['Malvaviscus arboreus'],0,1,0,0,0,0,0,0,0,0,0,0
145,['Bayadera brevicauda'],0,1,1,0,0,0,1,0,1,1,0,0
146,['Orthetrum melania'],0,1,1,0,0,0,1,0,0,0,0,0
147,['Muntiacus reevesi'],0,1,1,0,0,0,1,0,1,0,1,1
148,['Nephila pilipes'],0,1,0,0,0,0,1,1,1,1,0,0
149,['Canna indica'],0,1,0,0,0,0,1,0,0,0,0,0
150,['Coptocephala pallens'],0,1,0,0,0,0,0,0,0,0,0,0
151,['Hoplobatrachus chinensis'],0,1,0,0,0,0,0,1,0,0,0,0
152,['Polistes rothneyi'],0,1,0,0,0,0,1,1,0,1,0,0
153,['Kurixalus idiootocus'],0,1,0,0,0,0,1,1,1,1,0,1
154,['Pseudocopera ciliata'],0,1,0,0,0,0,0,0,0,0,0,0
155,['Corymica pryeri'],0,1,0,0,0,0,0,0,0,0,0,0
156,['Sipyloidea sipylus'],0,1,0,0,0,0,1,1,0,1,0,1
157,['Heteropoda venatoria'],0,1,0,0,0,0,1,1,0,1,0,1
158,['Argiope aetheroides'],0,1,0,0,0,0,1,0,0,1,1,1
159,['Dendrocopos leucotos'],0,0,0,0,0,0,0,0,0,1,0,0
160,['Araneae'],0,1,1,0,0,0,1,1,1,1,1,1
161,['Polyporales'],0,1,1,0,0,0,1,0,1,1,0,1
162,['Therates fruhstorferi sauteri'],0,0,0,0,0,0,1,0,0,1,0,1
163,['Buergeria otai'],0,1,1,0,0,0,1,1,0,0,1,1
164,['Trigoniulus tertius'],0,0,0,0,0,0,0,0,0,0,0,1
165,['Bufo bankorensis'],0,1,1,1,0,0,1,1,1,1,1,1
166,['Eterusia'],0,1,0,0,0,0,0,1,0,0,0,0
167,['Titanodula formosana'],0,1,0,0,0,0,1,0,0,1,0,0
168,['Calletaera obliquata'],0,1,1,0,0,0,1,0,0,0,1,0
169,['Urva urva formosana'],0,1,1,0,0,0,1,1,0,1,0,0
170,['Rana sauteri'],0,1,1,0,0,0,1,1,1,1,0,0
171,['Euthalia formosana'],0,0,0,0,0,0,1,0,0,1,0,0
172,['Kaniska canace'],0,1,0,0,0,0,1,1,1,1,0,1
173,['Anoplophora wusheana'],0,0,0,0,0,0,0,0,0,1,0,0
174,['Cantao ocellatus'],0,1,1,0,0,0,1,0,0,1,1,0
175,['Asota plana lacteata'],0,1,0,0,0,0,1,0,0,0,0,0
176,['Graphium doson postianus'],0,1,0,0,0,0,1,0,0,1,0,1
177,['Chrysochroa fulgidissima'],0,0,0,0,0,0,1,1,0,1,0,0
178,['Columba livia domestica'],0,0,0,0,0,0,1,0,0,0,0,0
179,['Cheirotonus formosanus'],0,0,1,0,0,0,1,1,1,1,0,0
180,['Melaleuca'],0,0,0,0,0,0,0,0,0,1,0,0
181,['Macaca cyclopis'],0,1,1,0,0,0,1,0,0,0,0,1
182,['Sephisa daimio'],0,0,0,0,0,0,0,0,0,1,0,0
183,['Indolestes cyaneus'],0,0,1,0,0,0,1,0,0,0,1,1
184,['Agaricales'],0,0,0,0,0,1,1,0,0,1,0,1
185,['Diploderma brevipes'],1,0,0,0,0,0,0,0,0,0,0,0
186,['Murina puta'],0,0,0,0,0,0,0,1,0,0,0,0
187,['Murininae'],0,1,0,0,0,0,0,0,0,1,0,0
188,['Xenocatantops brachycerus'],0,1,0,0,0,0,1,0,0,0,0,0
189,['Crocosmia × crocosmiiflora'],0,0,1,0,0,0,1,0,0,1,0,0
190,['Medinilla fengii'],0,1,1,0,0,0,1,0,1,1,1,0
191,['Euonymus laxiflorus'],0,1,1,0,0,0,1,0,0,0,0,0
192,['Lycoperdon'],0,0,1,0,0,0,1,0,0,1,0,0
193,['Epilachnini'],0,1,0,0,0,0,1,0,1,1,0,0
194,['Onychargia atrocyana'],0,1,0,0,0,0,0,0,0,0,0,0
195,['Vespa velutina'],0,1,0,0,0,0,1,1,0,0,0,0
196,['Nymphalidae'],0,1,0,0,0,0,1,1,0,1,0,0
197,['Asota plana'],0,1,0,0,0,0,1,0,0,0,0,0
198,['Hyla chinensis'],0,1,0,0,0,0,1,0,0,0,0,0
199,['Ficus erecta beecheyana'],0,1,1,0,0,0,1,1,1,1,1,0
200,['Amanita'],0,0,1,1,0,1,1,0,0,1,0,0
201,['Polytrichaceae'],0,1,1,1,0,1,1,0,1,0,1,1
202,['Boletales'],0,0,0,0,0,0,1,0,0,1,0,0
203,['Tettigoniidae'],0,1,1,0,0,0,1,1,1,1,0,0
204,['Pomponia'],0,1,0,0,0,0,0,0,0,1,0,0
205,['Diploderma swinhonis'],0,1,0,0,0,0,1,0,0,0,0,0
206,['Debregeasia orientalis'],0,1,1,0,0,0,1,1,1,1,1,1
207,['Ceriagrion auranticum'],0,1,0,0,0,0,0,0,0,0,0,0
208,['Paracercion calamorum'],0,1,0,0,0,0,0,0,0,0,0,0
209,['Artona hainana'],0,1,0,0,0,0,0,0,0,0,1,0
210,['Agriocnemis femina oryzae'],0,1,0,0,0,0,0,0,0,0,0,0
211,['Xenocatantops humile'],0,1,0,0,0,0,1,0,0,0,0,0
212,['Lobelia chinensis'],0,1,0,0,0,0,1,0,0,0,0,0
213,['Glenea lineata sauteri'],0,1,0,0,0,0,0,0,0,0,0,0
214,['Languriini'],0,1,1,0,0,0,1,0,1,1,0,0
215,['Life'],0,1,1,0,0,0,1,0,1,1,0,0
216,['Momordica charantia'],0,1,0,0,0,0,0,0,1,0,1,0
217,['Prosopocoilus forficula'],0,0,0,0,0,0,1,0,0,1,0,0
218,['Rhaetulus crenatus'],0,1,1,0,0,0,1,0,0,1,1,0
219,['Prosopocoilus astacoides blanchardi'],0,1,1,0,0,0,1,0,1,1,0,0
220,['Kurixalus eiffingeri'],0,1,1,0,0,0,1,0,1,1,0,0
221,['Mycalesina'],0,0,0,0,0,0,1,0,0,0,0,0
222,['Calanthe masuca'],0,1,1,0,0,0,1,0,0,1,0,0
223,['Trypoxylus dichotomus tsunobosonis'],0,1,0,0,0,0,1,0,0,1,0,0
224,['Ptyas dhumnades'],0,1,1,0,0,0,1,0,1,1,1,0
225,['Zhangixalus prasinatus'],0,1,1,0,0,0,1,1,0,1,0,0
226,['Polistes gigas'],0,1,0,0,0,0,1,1,0,1,0,0
227,['Ptyas major'],0,1,0,0,0,0,1,0,1,0,0,0
228,['Liriope muscari'],0,0,0,0,0,0,1,0,0,1,0,0
229,['Serrognathus titanus sika'],0,1,0,0,0,0,1,1,1,1,0,1
230,['Pseudorhaetus sinicus concolor'],0,0,0,0,0,0,0,0,0,1,0,0
231,['Neolucanus swinhoei'],0,1,1,1,0,1,1,0,1,1,0,0
232,['Satsuma polymorpha'],0,0,0,0,0,0,1,0,0,1,0,0
233,['Eugryllacris cylindrigera'],0,0,0,0,0,0,1,0,0,0,0,0
234,['Mecopoda elongata'],0,1,0,0,0,0,1,0,0,1,0,0
235,['Bungarus multicinctus'],0,1,0,0,0,0,1,0,0,1,0,1
236,['Pseudorhynchus gigas'],0,1,0,0,0,0,1,0,0,0,0,0
237,['Calanthe triplicata'],0,1,0,0,0,0,1,1,1,1,0,0
238,['Chitoria chrysolora'],0,0,0,0,0,0,1,0,0,1,0,0
239,['Amata perixanthia'],0,1,0,0,0,0,1,0,0,1,0,0
240,['Lophura swinhoii'],1,1,1,1,0,1,1,0,1,1,1,0
241,['Aix galericulata'],0,1,1,0,0,0,1,1,1,1,0,0
242,['Miltochrista sauteri'],0,1,0,0,0,0,0,0,0,0,0,0
243,['Pueraria montana lobata'],0,1,0,0,0,0,0,0,0,0,0,0
244,['Oenanthe javanica rosthornii'],0,1,0,0,0,0,0,0,0,0,0,0
245,['Paederia foetida'],0,1,1,0,0,0,1,1,1,0,0,0
246,['Lagerstroemia subcostata'],0,1,1,0,0,0,1,0,1,1,1,1
247,['Nyctemera adversata'],0,1,0,0,0,0,1,1,1,0,0,1
248,['Fraxinus griffithii'],0,0,0,0,0,0,1,0,1,0,0,0
249,['Pothos chinensis'],0,1,1,0,0,0,1,0,1,0,0,1
250,['Prunella vulgaris'],0,0,0,0,0,0,1,0,0,0,1,1
251,['Ageratum houstonianum'],0,1,1,0,0,0,1,1,1,1,0,1
252,['Argiope'],0,1,0,0,0,0,1,0,0,1,1,1
253,['Spilornis cheela'],0,1,0,0,0,0,1,1,1,1,0,1
254,['Polypedates braueri'],0,1,0,0,0,0,1,0,0,1,0,0
255,['Anura'],0,1,1,0,0,0,1,1,1,1,1,0
256,['Takydromus viridipunctatus'],0,1,0,0,0,0,1,0,0,0,0,0
257,['Draconinae'],0,1,0,0,0,0,0,0,0,0,0,0
258,['Theopompa ophthalmica'],0,1,0,0,0,0,1,0,0,1,0,0
259,['Oligodon formosanus'],0,1,0,0,0,0,0,0,0,0,0,0
260,['Vespa ducalis'],0,1,0,0,0,0,1,0,0,1,0,0
261,['Lyriothemis elegantissima'],0,1,0,0,0,0,1,0,0,0,0,1
262,['Pomacea canaliculata'],0,1,0,0,0,0,0,0,0,0,0,0
263,['Gastropoda'],0,1,1,0,0,0,1,1,1,1,0,1
264,['Lepidoptera'],0,1,1,1,0,0,1,1,1,1,1,1
265,['Trapa'],0,1,0,0,0,0,0,0,0,0,0,0
266,['Deronectina'],0,0,0,0,0,0,0,0,0,1,0,0
267,['Caelifera'],0,0,1,0,0,0,1,1,0,0,1,0
268,['Aix sponsa'],0,0,1,0,0,0,0,0,0,0,0,0
269,['Anas platyrhynchos'],0,0,1,0,0,0,1,0,0,0,0,0
270,['Cygnus atratus'],0,0,1,0,0,0,1,0,0,0,0,0
271,['Cryptalaus larvatus'],0,1,0,0,0,0,1,0,0,0,0,0
272,['Tragelaphus eurycerus'],0,0,0,0,0,0,1,0,0,0,0,0
273,['Scarabaeidae'],0,1,1,0,0,0,1,0,1,1,1,0
274,['Lymantria monacha'],0,1,1,0,0,0,0,0,0,1,0,0
275,['Dichorragia nesimachus formosanus'],0,0,0,0,0,0,1,0,0,1,0,0
276,['Cyphochilus'],0,0,0,0,0,0,1,0,0,0,0,0
277,['Celastrina lavendularis'],0,1,0,0,0,0,1,0,0,1,0,0
278,['Choaspes benjaminii'],0,1,0,0,0,0,1,0,0,1,0,0
279,['Amorphophallus kiusianus'],0,0,1,0,0,0,0,0,0,0,0,0
280,['Acridotheres cristatellus'],0,1,0,0,0,0,1,1,0,0,0,0
281,['Potamiscinae'],0,1,0,0,0,0,1,0,0,0,0,0
282,['Ascalaphinae'],0,1,0,0,0,0,1,0,0,1,0,0
283,['Cyrtarachne'],0,1,0,0,0,0,0,0,0,1,0,0
284,['Trachyzulpha formosana'],0,1,1,0,0,0,1,0,0,1,0,0
285,['Sphenomorphus'],0,1,0,0,0,0,1,0,0,1,0,0
286,['Arachniodes'],0,1,1,0,0,0,1,0,1,0,0,0
287,['Scincidae'],0,1,0,0,0,0,1,0,1,0,0,0
288,['Rubus rosifolius'],0,1,1,0,0,0,1,0,0,0,0,0
289,['Cryptotympana holsti'],0,1,0,0,0,0,1,0,1,1,0,0
290,['Cinnamomum austrosinense'],0,0,1,0,0,0,1,0,0,1,0,0
291,['Hydrangea chinensis'],0,1,1,1,0,0,1,0,1,1,1,1
292,['Erionota torus'],0,1,0,0,0,0,1,0,0,0,0,0
293,['Hexacentrus unicolor'],0,1,0,0,0,0,0,0,0,0,0,0
294,['Candidiopotamon rathbuni'],0,1,0,0,0,0,1,0,0,1,0,0
295,['Nesiohelix swinhoei'],0,1,0,0,0,0,1,1,1,1,0,1
296,['Crocothemis servilia servilia'],0,1,0,0,0,0,1,0,0,0,0,0
297,['Attacus atlas formosanus'],0,0,0,0,0,0,1,0,0,0,0,0
298,['Riukiaria cohaesiva'],0,0,0,0,0,0,1,0,0,0,0,0
299,['Callidula attenuata'],0,1,0,0,0,0,1,1,0,1,0,0
300,['Buergeria robusta'],0,1,1,0,0,0,1,0,1,1,0,1
301,['Saurauia tristyla oldhamii'],0,1,1,0,0,0,1,0,1,0,1,1
302,['Begonia formosana'],0,1,1,0,0,0,1,0,1,1,1,0
303,['Mitrastemon yamamotoi'],0,0,0,0,0,1,1,0,0,1,0,0
304,['Neanotis hirsuta'],0,1,0,0,0,0,1,0,0,0,0,0
305,['Carex cruciata'],0,1,1,0,0,0,1,0,0,0,1,0
306,['Sephisa chandra'],0,0,0,0,0,0,1,0,0,1,0,0
307,['Alocasia odora'],0,1,1,0,0,0,1,1,1,1,1,1
308,['Colocasia esculenta'],0,1,1,0,0,0,1,0,1,1,1,1
309,['Musa'],0,1,1,0,0,0,1,1,1,0,0,1
310,['Solanum capsicoides'],0,1,0,0,0,0,1,0,1,1,1,1
311,['Mecopoda niponensis'],0,1,0,0,0,0,1,0,0,0,0,0
312,['Ardisia virens'],0,1,1,0,0,0,1,0,1,0,0,1
313,['Pseudocyclosorus esquirolii'],0,1,1,0,0,0,1,0,1,1,0,0
314,['Tubocapsicum anomalum'],0,1,1,0,0,0,1,0,0,1,0,0
315,['Amischotolype glabrata'],0,1,1,0,0,0,1,1,0,0,0,1
316,['Boehmeria formosana'],0,1,1,0,0,0,1,0,1,0,0,0
317,['Ageratum conyzoides'],0,1,0,0,0,0,1,1,1,0,0,0
318,['Pteris wallichiana'],0,1,1,1,0,0,1,0,1,1,0,1
319,['Elatostema platyphyllum'],0,1,1,0,0,0,1,1,1,1,0,1
320,['Rorippa indica'],0,1,1,0,0,0,1,0,0,0,1,0
321,['Yinshania rivulorum'],0,0,0,0,0,0,1,0,0,0,0,0
322,['Scutellaria indica'],0,1,0,0,0,0,1,0,0,1,0,0
323,['Ixeridium laevigatum'],0,1,1,0,0,0,1,0,0,1,1,1
324,['Boehmeria nivea tenacissima'],0,0,1,0,0,0,1,0,1,1,0,0
325,['Lysionotus pauciflorus'],0,1,1,0,0,1,1,0,1,1,0,1
326,['Pilea rotundinucula'],0,0,1,0,0,0,1,0,0,0,0,0
327,['Dichrocephala integrifolia'],0,1,1,0,0,0,1,0,0,1,0,0
328,['Lucanus swinhoei'],0,0,1,0,0,0,1,0,0,0,0,0
329,['Papilio polytes'],0,1,0,0,0,0,1,0,0,1,0,0
330,['Neope muirheadii nagasawae'],0,1,0,0,0,0,1,0,0,1,0,0
331,['Shortia rotundifolia'],0,0,1,0,0,0,1,0,0,1,1,1
332,['Leucauge'],0,1,1,0,0,0,1,1,1,1,0,1
333,['Oxya'],0,1,0,0,0,0,1,0,0,0,0,0
334,['Actinidia setosa'],0,0,0,0,0,0,0,0,0,0,1,1
335,['Hersiliidae'],0,1,0,0,0,0,1,0,0,0,1,1
336,['Abraximorpha davidii'],0,0,0,0,0,0,1,0,0,1,0,0
337,['Rhene atrata'],0,1,0,0,0,0,0,0,0,0,0,0
338,['Dicliptera japonica'],0,1,1,0,0,0,1,0,0,0,0,0
339,['Cuphea carthagenensis'],0,1,0,0,0,0,1,1,1,0,0,1
340,['Sarcopyramis napalensis delicata'],1,1,1,1,0,1,1,0,0,1,1,1
341,['Salvia'],0,1,0,0,0,0,1,0,0,1,1,0
342,['Mazus miquelii'],0,0,1,0,0,0,0,0,0,1,1,0
343,['Tricyrtis formosana glandosa'],0,0,0,0,0,0,0,0,0,1,1,0
344,['Eriocapitella vitifolia'],0,0,1,1,0,0,0,0,0,1,1,1
345,['Meghimatium'],0,1,1,0,0,0,0,0,0,0,1,0
346,['Pieris canidia'],0,1,1,0,0,0,1,0,1,1,0,1
347,['Ampittia virgata myakei'],0,0,0,0,0,0,1,0,0,1,1,0
348,['Traulia ornata'],0,1,0,0,0,0,1,0,0,1,0,0
349,['Tagiades cohaerens'],0,1,1,0,0,0,1,0,0,1,1,0
350,['Timelaea albescens'],0,0,0,0,0,0,1,0,0,1,0,0
351,['Cyrtophora moluccensis'],0,1,0,0,0,0,1,0,0,1,0,0
352,['Sinopodisma shirakii'],0,0,0,0,0,0,0,0,0,1,0,0
353,['Kallima inachus formosana'],0,0,0,0,0,0,0,0,0,1,0,1
354,['Setaria palmifolia'],0,1,1,0,0,0,1,1,1,1,1,1
355,['Selaginella'],0,1,1,0,0,0,1,1,0,1,1,0
356,['Paraphlomis javanica'],0,1,1,0,0,0,1,0,0,1,0,0
357,['Nekemias cantoniensis'],0,1,1,0,0,0,1,0,1,1,0,0
358,['Diplazium dilatatum'],0,1,1,0,0,0,1,1,1,1,0,1
359,['Ctenitis eatonii'],0,1,0,0,0,0,1,0,1,0,0,0
360,['Urticaceae'],0,1,1,0,0,0,1,0,0,0,0,0
361,['Angiospermae'],0,1,1,1,0,1,1,1,1,1,1,1
